# id|name|long description|short description|safe|direction:destination,...
sisters_lawn|Sister's Lawn|A shaded lawn stretches beside the river. Your sister reads beneath a tree while a path leads east toward the place where the White Rabbit disappeared.|You are back on the shaded lawn above Wonderland.|false|east:riverbank
riverbank|Riverbank|Warm afternoon light lies across the riverbank. A White Rabbit in a waistcoat hurries toward a dark opening beneath the hedge. The rabbit hole descends into uncertainty, and once you follow it there will be no path back.|You are beside the rabbit hole again. The lawn lies west, but Wonderland waits below.|false|west:sisters_lawn,down:rabbit_hole
rabbit_hole|Rabbit Hole|You tumble through a long shaft lined with cupboards, maps and empty shelves. The fall slows just enough for you to notice a marmalade jar before the tunnel bends toward a tiled chamber below.|You are in the sloping rabbit hole. Gravity allows only a downward journey.|false|down:hall_of_doors
hall_of_doors|Hall of Doors|A circular hall contains doors of every size. A glass table stands beneath a row of lamps, and one tiny door opens toward a quiet garden. This hall is a safe room: objects stashed here cannot be lost during random encounters. Passages lead toward several parts of Wonderland.|You are back in the Hall of Doors, your safe gathering place.|true|north:pool_of_tears,east:mushroom_forest,west:mad_tea_party,south:queen_garden,down:quiet_garden
pool_of_tears|Pool of Tears|A broad pool reflects the ceiling like a restless mirror. Small footprints and feathers circle its edge, suggesting that many creatures recently escaped an unexpected flood.|You stand beside the Pool of Tears again.|false|south:hall_of_doors,east:caucus_garden
caucus_garden|Caucus Garden|A damp garden has been marked into a disorderly running course. The Dodo supervises a race with no clear starting line, finishing line or winner.|The confused caucus race continues in the damp garden.|false|west:pool_of_tears,south:queen_garden
mushroom_forest|Mushroom Forest|Huge blue mushrooms rise like umbrellas beneath twisted trees. A Caterpillar watches from above while a metallic glint shines between the roots of the largest mushroom.|You return to the blue mushrooms and curling smoke.|false|west:hall_of_doors,south:queen_garden,east:royal_kitchen
mad_tea_party|Mad Tea Party|A long table is crowded with cups, plates and empty chairs. The Mad Hatter and Dormouse guard the best places while insisting that every seat is already occupied.|The endless tea party has not moved forward by even a minute.|false|east:hall_of_doors,south:royal_kitchen
queen_garden|Queen's Garden|Card gardeners hurry among rose trees, painting pale blossoms red before the Queen notices. A croquet field stretches toward the palace, using unusual equipment and even stranger rules.|You are again among the painted roses and crooked croquet hoops.|false|north:hall_of_doors,west:caucus_garden,east:mushroom_forest,south:royal_kitchen
royal_kitchen|Royal Kitchen|Pepper hangs in the air while trays move rapidly between ovens and doors. One carefully guarded tart rests beside a cooling rack, apparently intended for the Queen's court.|The Royal Kitchen remains noisy, warm and full of pepper.|false|north:queen_garden,west:mad_tea_party,east:mushroom_forest
quiet_garden|Quiet Garden|You pass through the tiny door into a sheltered garden of fountains and bright flower beds. Wonderland continues beyond the hedges, but this peaceful place marks the successful end of your search.|You have reached the Quiet Garden.|false|up:hall_of_doors
